question_id,status,first_used_bank_revision,retired_at,replacement_id,notes
EISEI1-Q-000001,used,,,,Expansion pre-release allocation: E1-B2-HH-C001
EISEI1-Q-000002,used,,,,Expansion pre-release allocation: E1-B2-HH-C002
EISEI1-Q-000003,used,,,,Expansion pre-release allocation: E1-B2-LH-C001
EISEI1-Q-000004,used,,,,Expansion pre-release allocation: E1-B2-LH-C002
EISEI1-Q-000005,used,,,,Expansion pre-release allocation: E1-B3-LH-C001
EISEI1-Q-000006,used,,,,Expansion pre-release allocation: E1-B4-LH-C002
EISEI1-Q-000007,used,,,,Expansion pre-release allocation: E1-B4-LH-C004
EISEI1-Q-000008,used,,,,Expansion pre-release allocation: E1-B6-HH-C001
EISEI1-Q-000009,used,,,,Expansion pre-release allocation: E1-B7-LH-C001
EISEI1-Q-000010,used,,,,Expansion pre-release allocation: E1-B7-LH-C002
EISEI1-Q-000011,used,,,,Expansion pre-release allocation: E1-B8-HH-C001
EISEI1-Q-000012,used,,,,Expansion pre-release allocation: E1-B8-HH-C002
EISEI1-Q-000013,used,,,,Expansion pre-release allocation: E1-B8-LH-C001
EISEI1-Q-000014,used,,,,Expansion pre-release allocation: E1-B9-LH-C001
EISEI1-Q-000015,used,,,,Expansion pre-release allocation: E1-B9-LH-C002
EISEI1-Q-000016,used,,,,Expansion pre-release allocation: E1-B9-LH-C003
EISEI1-Q-000017,used,,,,Expansion pre-release allocation: E1-B10-LH-C001
EISEI1-Q-000018,used,,,,Expansion pre-release allocation: E1-B10-LH-C002
EISEI1-Q-000019,used,,,,Expansion pre-release allocation: E1-B10-LH-C003
EISEI1-Q-000020,used,,,,Expansion pre-release allocation: E1-B11-LH-C001
EISEI1-Q-000021,used,,,,Expansion pre-release allocation: E1-B11-LH-C002
EISEI1-Q-000022,used,,,,Expansion pre-release allocation: E1-B11-LH-C003
EISEI1-Q-000023,used,,,,Expansion pre-release allocation: E1-B11-LH-C004
EISEI1-Q-000024,used,,,,Expansion pre-release allocation: E1-B12-LH-C001
EISEI1-Q-000025,used,,,,Expansion pre-release allocation: E1-B12-LH-C002
EISEI1-Q-000026,used,,,,Expansion pre-release allocation: E1-B12-LH-C003
EISEI1-Q-000027,used,,,,Expansion pre-release allocation: E1-B12-LH-C004
EISEI1-Q-000028,used,,,,Expansion pre-release allocation: E1-B13-LH-C001
EISEI1-Q-000029,used,,,,Expansion pre-release allocation: E1-B13-LH-C002
EISEI1-Q-000030,used,,,,Expansion pre-release allocation: E1-B14-LG-C001
EISEI1-Q-000031,used,,,,Expansion pre-release allocation: E1-B15-HG-C001
EISEI1-Q-000032,used,,,,Expansion pre-release allocation: E1-B16-LG-C001
EISEI1-Q-000033,used,,,,Expansion pre-release allocation: E1-B17-LG-C001
EISEI1-Q-000034,used,,,,Expansion pre-release allocation: E1-B18-HG-C001
EISEI1-Q-000035,used,,,,Expansion pre-release allocation: E1-B19-LH-C001
EISEI1-Q-000036,used,,,,Expansion pre-release allocation: E1-B20-LH-C001
EISEI1-Q-000037,used,,,,Expansion pre-release allocation: E1-B21-HH-C001
EISEI1-Q-000038,used,,,,Expansion pre-release allocation: E1-B21-LG-C001
EISEI1-Q-000039,used,,,,Expansion pre-release allocation: E1-B22-HH-C001
EISEI1-Q-000040,used,,,,Expansion pre-release allocation: E1-B23-HH-C001
EISEI1-Q-000041,used,,,,Expansion pre-release allocation: E1-B24-HH-C001
EISEI1-Q-000042,used,,,,Expansion pre-release allocation: E1-B25-HH-C001
EISEI1-Q-000043,used,,,,Expansion pre-release allocation: E1-B26-HH-C001
EISEI1-Q-000044,used,,,,Expansion pre-release allocation: E1-B27-HG-C001
EISEI1-Q-000045,used,,,,Expansion pre-release allocation: E1-B28-HH-C001
EISEI1-Q-000046,used,,,,Expansion pre-release allocation: E1-B29-HH-C001
EISEI1-Q-000047,used,,,,Expansion pre-release allocation: E1-B30-HH-C001
EISEI1-Q-000048,used,,,,Expansion pre-release allocation: E1-B31-HH-C001
EISEI1-Q-000049,used,,,,Expansion pre-release allocation: E1-B32-PH-C001
EISEI1-Q-000050,used,,,,Expansion pre-release allocation: E1-B33-PH-C001
EISEI1-Q-000051,used,,,,Expansion pre-release allocation: E1-B34-PH-C001
EISEI1-Q-000052,used,,,,Expansion pre-release allocation: E1-B35-LH-C001
EISEI1-Q-000053,used,,,,Expansion pre-release allocation: E1-B36-LG-C001
EISEI1-Q-000054,used,,,,Expansion pre-release allocation: E1-B37-LH-C001
EISEI1-Q-000055,used,,,,Expansion pre-release allocation: E1-B38-LH-C001
