question_id,status,first_used_bank_revision,retired_at,replacement_id,notes
OTSU4-Q-000001,used,,,,Expansion pre-release allocation: O4-B1-LAW-C002
OTSU4-Q-000002,used,,,,Expansion pre-release allocation: O4-B1-FIR-C001
OTSU4-Q-000003,used,,,,Expansion pre-release allocation: O4-B1-FIR-C002
OTSU4-Q-000004,used,,,,Expansion pre-release allocation: O4-B1-LAW-C001
OTSU4-Q-000005,used,,,,Expansion pre-release allocation: O4-B1-PHY-C001
OTSU4-Q-000006,used,,,,Expansion pre-release allocation: O4-B1-PHY-C002
OTSU4-Q-000007,used,,,,Expansion pre-release allocation: O4-B2-LAW-C001
OTSU4-Q-000008,used,,,,Expansion pre-release allocation: O4-B2-LAW-C002
OTSU4-Q-000009,used,,,,Expansion pre-release allocation: O4-B2-LAW-C003
OTSU4-Q-000010,used,,,,Expansion pre-release allocation: O4-B2-LAW-C004
OTSU4-Q-000011,used,,,,Expansion pre-release allocation: O4-B2-LAW-C005
OTSU4-Q-000012,used,,,,Expansion pre-release allocation: O4-B2-LAW-C006
OTSU4-Q-000013,used,,,,Expansion pre-release allocation: O4-B2-LAW-C007
OTSU4-Q-000014,used,,,,Expansion pre-release allocation: O4-B2-LAW-C008
OTSU4-Q-000015,used,,,,Expansion pre-release allocation: O4-B2-LAW-C009
OTSU4-Q-000016,used,,,,Expansion pre-release allocation: O4-B2-LAW-C010
OTSU4-Q-000017,used,,,,Expansion pre-release allocation: O4-B2-LAW-C011
OTSU4-Q-000018,used,,,,Expansion pre-release allocation: O4-B2-LAW-C012
OTSU4-Q-000019,used,,,,Expansion pre-release allocation: O4-B2-LAW-C013
OTSU4-Q-000020,used,,,,Expansion pre-release allocation: O4-B2-LAW-C014
OTSU4-Q-000021,used,,,,Expansion pre-release allocation: O4-B2-LAW-C015
OTSU4-Q-000022,used,,,,Expansion pre-release allocation: O4-B2-LAW-C017
OTSU4-Q-000023,used,,,,Expansion pre-release allocation: O4-B2-LAW-C018
OTSU4-Q-000024,used,,,,Expansion pre-release allocation: O4-B2-LAW-C019
OTSU4-Q-000025,used,,,,Expansion pre-release allocation: O4-B2-LAW-C020
OTSU4-Q-000026,used,,,,Expansion pre-release allocation: O4-B2-LAW-C021
OTSU4-Q-000027,used,,,,Expansion pre-release allocation: O4-B2-LAW-C022
OTSU4-Q-000028,used,,,,Expansion pre-release allocation: O4-B2-LAW-C023
OTSU4-Q-000029,used,,,,Expansion pre-release allocation: O4-B2-LAW-C024
OTSU4-Q-000030,used,,,,Expansion pre-release allocation: O4-B3-LAW-C001
OTSU4-Q-000031,used,,,,Expansion pre-release allocation: O4-B3-LAW-C002
OTSU4-Q-000032,used,,,,Expansion pre-release allocation: O4-B3-LAW-C003
OTSU4-Q-000033,used,,,,Expansion pre-release allocation: O4-B3-LAW-C004
OTSU4-Q-000034,used,,,,Expansion pre-release allocation: O4-B3-LAW-C005
OTSU4-Q-000035,used,,,,Expansion pre-release allocation: O4-B3-LAW-C006
OTSU4-Q-000036,used,,,,Expansion pre-release allocation: O4-B3-LAW-C007
OTSU4-Q-000037,used,,,,Expansion pre-release allocation: O4-B3-LAW-C008
OTSU4-Q-000038,used,,,,Expansion pre-release allocation: O4-B3-LAW-C009
OTSU4-Q-000039,used,,,,Expansion pre-release allocation: O4-B3-LAW-C010
OTSU4-Q-000040,used,,,,Expansion pre-release allocation: O4-B3-LAW-C011
OTSU4-Q-000041,used,,,,Expansion pre-release allocation: O4-B3-LAW-C012
OTSU4-Q-000042,used,,,,Expansion pre-release allocation: O4-B3-LAW-C013
OTSU4-Q-000043,used,,,,Expansion pre-release allocation: O4-B3-LAW-C014
OTSU4-Q-000044,used,,,,Expansion pre-release allocation: O4-B3-LAW-C015
OTSU4-Q-000045,used,,,,Expansion pre-release allocation: O4-B3-LAW-C018
OTSU4-Q-000046,used,,,,Expansion pre-release allocation: O4-B3-LAW-C019
OTSU4-Q-000047,used,,,,Expansion pre-release allocation: O4-B3-LAW-C020
OTSU4-Q-000048,used,,,,Expansion pre-release allocation: O4-B3-LAW-C021
OTSU4-Q-000049,used,,,,Expansion pre-release allocation: O4-B3-LAW-C022
OTSU4-Q-000050,used,,,,Expansion pre-release allocation: O4-B3-LAW-C023
OTSU4-Q-000051,used,,,,Expansion pre-release allocation: O4-B3-LAW-C024
